Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-02-26 00:00:00+05:30,263.6057192052892,263.6057192052892,209.74044773253607,220.9986114501953,4430766,0.0,0.0,0.0
2007-02-27 00:00:00+05:30,224.24792463525884,260.85983069815825,219.57990102570565,238.98422241210938,4221765,0.0,0.0,0.0
2007-02-28 00:00:00+05:30,224.2479185385424,230.65500192535788,197.97887944586554,202.60113525390625,1053624,0.0,0.0,0.0
2007-03-01 00:00:00+05:30,203.19606995405195,217.8408317525422,201.36547472924067,211.52528381347656,838289,0.0,0.0,0.0
2007-03-02 00:00:00+05:30,219.48838461715334,219.48838461715334,196.33135071402694,200.17559814453125,242763,0.0,0.0,0.0
2007-03-05 00:00:00+05:30,196.78897170560893,196.78897170560893,173.9065331351893,176.51513671875,182681,0.0,0.0,0.0
2007-03-06 00:00:00+05:30,178.48303817326627,189.2835530200947,155.69213273152104,166.26380920410156,435627,0.0,0.0,0.0
2007-03-07 00:00:00+05:30,169.33005481362554,172.07594759438703,154.04458779398647,159.76519775390625,228524,0.0,0.0,0.0
2007-03-08 00:00:00+05:30,161.09239130884038,191.7548635181935,144.84585752627265,185.8511962890625,507996,0.0,0.0,0.0
2007-03-09 00:00:00+05:30,192.21247580342757,193.0362379703382,167.17908348725805,172.2589874267578,466879,0.0,0.0,0.0
2007-03-12 00:00:00+05:30,173.90654341163548,205.02666170634922,169.37582310023052,201.8231201171875,806632,0.0,0.0,0.0
2007-03-13 00:00:00+05:30,195.87369669596353,214.91189056995944,195.87369669596353,205.9419708251953,1000399,0.0,0.0,0.0
2007-03-14 00:00:00+05:30,192.44133552592382,199.53489248347867,187.63602274822537,188.00213623046875,692646,0.0,0.0,0.0
2007-03-15 00:00:00+05:30,194.04308612808697,198.34498194237707,187.6360030955558,188.13941955566406,198244,0.0,0.0,0.0
2007-03-16 00:00:00+05:30,189.51237896015138,191.20567121260785,174.91338441044874,179.35256958007812,138711,0.0,0.0,0.0
2007-03-19 00:00:00+05:30,181.32048042658417,186.44613918007107,174.9591502220256,182.6476593017578,130578,0.0,0.0,0.0
2007-03-20 00:00:00+05:30,179.48985374758044,189.8327048091901,177.11007454952934,179.5813751220703,133605,0.0,0.0,0.0
2007-03-21 00:00:00+05:30,182.09847040940667,182.09847040940667,176.14903549702981,177.15586853027344,47425,0.0,0.0,0.0
2007-03-22 00:00:00+05:30,179.3983458889047,185.80542967065128,176.74398819442908,177.2473907470703,86447,0.0,0.0,0.0
2007-03-23 00:00:00+05:30,180.03904738154316,180.03904738154316,171.29795191329194,173.4946746826172,44456,0.0,0.0,0.0
2007-03-26 00:00:00+05:30,177.56774469903314,177.56774469903314,166.58417286197957,169.51312255859375,26977,0.0,0.0,0.0
2007-03-28 00:00:00+05:30,168.68935194408976,168.68935194408976,155.2802336073742,156.47012329101562,136227,0.0,0.0,0.0
2007-03-29 00:00:00+05:30,153.6784623602494,164.57051224431797,152.25976224494474,153.81576538085938,116666,0.0,0.0,0.0
2007-03-30 00:00:00+05:30,157.43119351136633,159.2617887847543,153.17506508727269,155.41754150390625,105815,0.0,0.0,0.0
2007-04-02 00:00:00+05:30,154.68529702691768,154.68529702691768,147.82056491033848,150.42916870117188,32168,0.0,0.0,0.0
2007-04-03 00:00:00+05:30,152.8547081079556,155.46331200651113,148.7816363438547,153.44964599609375,54286,0.0,0.0,0.0
2007-04-04 00:00:00+05:30,155.46329966968486,157.43118388167267,148.7816245372543,150.5664520263672,35756,0.0,0.0,0.0
2007-04-05 00:00:00+05:30,152.6716344465633,158.80412525088133,150.01726316631695,152.44281005859375,71184,0.0,0.0,0.0
2007-04-09 00:00:00+05:30,151.39022163792893,158.34648917673505,151.39022163792893,156.65318298339844,46722,0.0,0.0,0.0
2007-04-10 00:00:00+05:30,160.08554934977192,160.08554934977192,151.52752491851163,152.76316833496094,114856,0.0,0.0,0.0
2007-04-11 00:00:00+05:30,164.75358002130278,164.75358002130278,151.6190529164042,154.8683624267578,76331,0.0,0.0,0.0
2007-04-12 00:00:00+05:30,155.6005963008379,160.17708442733314,152.16823020596647,156.65318298339844,52661,0.0,0.0,0.0
2007-04-13 00:00:00+05:30,159.2617857414528,159.2617857414528,153.9530567568044,154.41070556640625,45277,0.0,0.0,0.0
2007-04-16 00:00:00+05:30,159.26177591285395,159.26177591285395,155.64635333338612,158.16342163085938,68072,0.0,0.0,0.0
2007-04-17 00:00:00+05:30,160.17708699500335,189.8327249435448,158.34649171506044,188.0478973388672,855138,0.0,0.0,0.0
2007-04-18 00:00:00+05:30,191.29720581538453,192.02944671703548,172.07595547029806,173.22007751464844,523498,0.0,0.0,0.0
2007-04-19 00:00:00+05:30,169.33006221262343,177.93385438175844,161.04661583544188,170.5657196044922,148526,0.0,0.0,0.0
2007-04-20 00:00:00+05:30,175.69137900747185,179.30680188814583,170.7487773435547,171.9844207763672,110716,0.0,0.0,0.0
2007-04-23 00:00:00+05:30,174.22691706886434,181.96117958700123,172.0759619578575,173.9980926513672,265629,0.0,0.0,0.0
2007-04-24 00:00:00+05:30,175.55408603424624,179.39833323895724,172.07595229042838,176.10325622558594,179002,0.0,0.0,0.0
2007-04-25 00:00:00+05:30,177.5677268956592,193.95154765671543,175.82866711568832,187.13258361816406,433774,0.0,0.0,0.0
2007-04-26 00:00:00+05:30,190.19884334972946,198.61957844442946,183.7917601741027,186.67494201660156,270188,0.0,0.0,0.0
2007-04-27 00:00:00+05:30,183.97480642816728,187.54446126486752,176.65242607281735,177.84231567382812,185880,0.0,0.0,0.0
2007-04-30 00:00:00+05:30,177.4761876703595,183.51715702943227,175.92018464342624,178.2541961669922,120837,0.0,0.0,0.0
2007-05-03 00:00:00+05:30,178.48302231825792,181.86962046128662,175.3252485628167,176.1947784423828,57052,0.0,0.0,0.0
2007-05-04 00:00:00+05:30,178.48304798531188,181.00011661074578,173.54044608917542,174.59303283691406,62823,0.0,0.0,0.0
2007-05-07 00:00:00+05:30,176.2863213316923,178.02538116528277,172.07594683328102,173.17430114746094,35053,0.0,0.0,0.0
2007-05-08 00:00:00+05:30,174.54725309695704,177.75079476248288,169.5131161939878,170.8860626220703,49112,0.0,0.0,0.0
2007-05-09 00:00:00+05:30,173.9065488678209,173.9065488678209,167.5910008375755,169.238525390625,24440,0.0,0.0,0.0
2007-05-10 00:00:00+05:30,170.2453557999087,173.90654624721856,164.75357012894392,166.4926300048828,29674,0.0,0.0,0.0
2007-05-11 00:00:00+05:30,163.3806266159308,169.78771001263394,162.92297780188056,167.4994659423828,47138,0.0,0.0,0.0
2007-05-14 00:00:00+05:30,169.33005715669182,175.27949159733234,165.66886673168227,170.29112243652344,49940,0.0,0.0,0.0
2007-05-15 00:00:00+05:30,171.16063498772846,172.07593250103182,169.46732900158457,171.02334594726562,24742,0.0,0.0,0.0
2007-05-16 00:00:00+05:30,172.89970647009557,172.94547414214892,165.21121242044185,171.25218200683594,181494,0.0,0.0,0.0
2007-05-17 00:00:00+05:30,172.16749119491135,191.02261414702286,172.16749119491135,183.24258422851562,538883,0.0,0.0,0.0
