companyName,currentValue,change,pChange,updatedOn,securityID,scripCode,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat,buy,sell
ATUL LTD.,7353.80,-292.95,-3.83,25 Oct 24 | 02:14 PM,ATUL,500027,A  / BSE 500,10.00,Chemicals,7646.75,7492.15,7694.95,7175.00,8165.25,5183.10,7473.35,12.99 Cr.,0.17 Lakh,0.04 Lakh,"21,650.88 Cr.","11,691.47 Cr.","{'1': {'quantity': '7', 'price': '7338.65'}, '2': {'quantity': '8', 'price': '7338.60'}, '3': {'quantity': '4', 'price': '7337.45'}, '4': {'quantity': '7', 'price': '7337.05'}, '5': {'quantity': '1', 'price': '7335.60'}}","{'1': {'price': '7355.65', 'quantity': '1'}, '2': {'price': '7355.70', 'quantity': '1'}, '3': {'price': '7356.80', 'quantity': '1'}, '4': {'price': '7359.00', 'quantity': '1'}, '5': {'price': '7359.05', 'quantity': '1'}}"
ATV PROJECTS INDIA LTD.,34.77,-0.26,-0.74,25 Oct 24 | 02:14 PM,ATVPR,500028,X  /,10.00,Capital Goods,35.03,36.00,36.00,33.28,41.50,12.02,33.75,0.15 Cr.,0.45 Lakh,0.72 Lakh,184.69 Cr.,134.82 Cr.,"{'1': {'quantity': '156', 'price': '34.09'}, '2': {'quantity': '57', 'price': '33.66'}, '3': {'quantity': '100', 'price': '33.65'}, '4': {'quantity': '101', 'price': '33.60'}, '5': {'quantity': '1', 'price': '33.54'}}","{'1': {'price': '34.72', 'quantity': '88'}, '2': {'price': '34.73', 'quantity': '50'}, '3': {'price': '34.77', 'quantity': '290'}, '4': {'price': '34.80', 'quantity': '500'}, '5': {'price': '34.86', 'quantity': '133'}}"
BAJAJ ELECTRICALS LTD.-$,845.20,-20.95,-2.42,25 Oct 24 | 02:14 PM,BAJAJELEC,500031,A  / BSE SmallCap,2.00,Consumer Durables,866.15,881.20,881.20,841.65,1120.00,822.05,848.07,0.04 Cr.,0.00 Lakh,0.04 Lakh,"9,743.24 Cr.","3,507.57 Cr.","{'1': {'quantity': '2', 'price': '843.05'}, '2': {'quantity': '1', 'price': '843.00'}, '3': {'quantity': '1', 'price': '842.95'}, '4': {'quantity': '19', 'price': '842.90'}, '5': {'quantity': '1', 'price': '842.55'}}","{'1': {'price': '845.35', 'quantity': '3'}, '2': {'price': '845.40', 'quantity': '1'}, '3': {'price': '845.45', 'quantity': '9'}, '4': {'price': '845.55', 'quantity': '1'}, '5': {'price': '845.60', 'quantity': '3'}}"
Bajaj Hindusthan Sugar Limited,31.83,-1.68,-5.01,25 Oct 24 | 02:14 PM,BAJAJHIND,500032,A  / BSE SmallCap,1.00,Fast Moving Consumer Goods,33.51,33.16,33.52,31.62,46.10,22.52,32.28,5.49 Cr.,17.03 Lakh,10.48 Lakh,"4,065.84 Cr.","2,886.74 Cr.","{'1': {'quantity': '10', 'price': '31.82'}, '2': {'quantity': '284', 'price': '31.81'}, '3': {'quantity': '9299', 'price': '31.80'}, '4': {'quantity': '1408', 'price': '31.79'}, '5': {'quantity': '3552', 'price': '31.78'}}","{'1': {'price': '31.84', 'quantity': '1200'}, '2': {'price': '31.85', 'quantity': '1123'}, '3': {'price': '31.86', 'quantity': '4310'}, '4': {'price': '31.87', 'quantity': '9764'}, '5': {'price': '31.88', 'quantity': '6851'}}"
FORCE MOTORS LTD.-$,6177.70,-172.75,-2.72,25 Oct 24 | 02:14 PM,FORCEMOT,500033,A  / BSE SmallCap,10.00,Automobile and Auto Components,6350.45,6489.95,6489.95,6150.35,10272.65,3181.40,6238.47,0.98 Cr.,0.02 Lakh,0.03 Lakh,"8,051.33 Cr.","2,978.99 Cr.","{'1': {'quantity': '5', 'price': '6180.10'}, '2': {'quantity': '14', 'price': '6180.05'}, '3': {'quantity': '2', 'price': '6177.70'}, '4': {'quantity': '1', 'price': '6177.65'}, '5': {'quantity': '13', 'price': '6177.55'}}","{'1': {'price': '6194.80', 'quantity': '8'}, '2': {'price': '6194.85', 'quantity': '1'}, '3': {'price': '6194.90', 'quantity': '3'}, '4': {'price': '6194.95', 'quantity': '6'}, '5': {'price': '6195.20', 'quantity': '1'}}"
Bajaj Finance Limited,6936.80,-103.80,-1.47,25 Oct 24 | 02:14 PM,BAJFINANCE,500034,A  / BSE SENSEX,2.00,Financial Services,7040.60,7045.00,7058.30,6917.10,7829.95,6190.00,6988.18,16.64 Cr.,0.24 Lakh,0.43 Lakh,"4,29,385.37 Cr.","1,93,223.42 Cr.","{'1': {'quantity': '1', 'price': '6933.60'}, '2': {'quantity': '3', 'price': '6933.55'}, '3': {'quantity': '4', 'price': '6933.50'}, '4': {'quantity': '1', 'price': '6933.45'}, '5': {'quantity': '1', 'price': '6933.35'}}","{'1': {'price': '6936.25', 'quantity': '5'}, '2': {'price': '6936.40', 'quantity': '5'}, '3': {'price': '6937.00', 'quantity': '2'}, '4': {'price': '6937.05', 'quantity': '2'}, '5': {'price': '6937.30', 'quantity': '2'}}"
BALRAMPUR CHINI MILLS LTD.,604.95,-9.00,-1.47,25 Oct 24 | 02:14 PM,BALRAMCHIN,500038,A  / BSE 500,1.00,Fast Moving Consumer Goods,613.95,612.40,619.25,598.15,692.85,343.45,607.15,2.23 Cr.,0.37 Lakh,2.37 Lakh,"12,343.40 Cr.","7,035.74 Cr.","{'1': {'quantity': '11', 'price': '605.20'}, '2': {'quantity': '1', 'price': '605.15'}, '3': {'quantity': '11', 'price': '605.10'}, '4': {'quantity': '1', 'price': '605.05'}, '5': {'quantity': '8', 'price': '605.00'}}","{'1': {'price': '605.80', 'quantity': '14'}, '2': {'price': '605.85', 'quantity': '61'}, '3': {'price': '605.90', 'quantity': '7'}, '4': {'price': '605.95', 'quantity': '63'}, '5': {'price': '606.00', 'quantity': '36'}}"
BANCO PRODUCTS (INDIA) LTD.-$,666.40,3.90,0.59,25 Oct 24 | 02:14 PM,BANCOINDIA,500039,B  / BSE SmallCap,2.00,Automobile and Auto Components,662.50,650.00,674.80,636.80,798.00,413.75,660.83,0.44 Cr.,0.07 Lakh,0.09 Lakh,"4,766.00 Cr.","1,477.46 Cr.","{'1': {'quantity': '1', 'price': '666.85'}, '2': {'quantity': '1', 'price': '666.80'}, '3': {'quantity': '2', 'price': '666.70'}, '4': {'quantity': '45', 'price': '666.65'}, '5': {'quantity': '1', 'price': '666.55'}}","{'1': {'price': '668.65', 'quantity': '1'}, '2': {'price': '668.70', 'quantity': '2'}, '3': {'price': '668.75', 'quantity': '76'}, '4': {'price': '668.85', 'quantity': '1'}, '5': {'price': '668.90', 'quantity': '2'}}"
Aditya Birla Real Estate Ltd,2605.30,-156.65,-5.67,25 Oct 24 | 02:14 PM,ABREL,500040,A  / BSE 500,10.00,Forest Materials,2761.95,2789.95,2789.95,2575.00,3141.95,1050.75,2640.70,1.69 Cr.,0.06 Lakh,0.21 Lakh,"29,100.08 Cr.","13,677.04 Cr.","{'1': {'quantity': '1', 'price': '2601.95'}, '2': {'quantity': '15', 'price': '2601.90'}, '3': {'quantity': '26', 'price': '2601.65'}, '4': {'quantity': '1', 'price': '2600.95'}, '5': {'quantity': '1', 'price': '2600.90'}}","{'1': {'price': '2605.10', 'quantity': '1'}, '2': {'price': '2605.15', 'quantity': '28'}, '3': {'price': '2606.35', 'quantity': '30'}, '4': {'price': '2606.60', 'quantity': '1'}, '5': {'price': '2606.80', 'quantity': '1'}}"
BANNARI AMMAN SUGARS LTD.,3515.65,-179.40,-4.86,25 Oct 24 | 02:14 PM,BANARISUG,500041,B  / BSE SmallCap,10.00,Fast Moving Consumer Goods,3695.05,3845.00,3845.00,3362.00,3969.95,2190.70,3522.80,0.15 Cr.,0.00 Lakh,0.00 Lakh,"4,408.52 Cr.",925.79 Cr.,"{'1': {'quantity': '19', 'price': '3498.30'}, '2': {'quantity': '4', 'price': '3494.75'}, '3': {'quantity': '1', 'price': '3488.35'}, '4': {'quantity': '1', 'price': '3486.65'}, '5': {'quantity': '2', 'price': '3482.50'}}","{'1': {'price': '3520.00', 'quantity': '1'}, '2': {'price': '3524.05', 'quantity': '2'}, '3': {'price': '3527.90', 'quantity': '2'}, '4': {'price': '3527.95', 'quantity': '5'}, '5': {'price': '3534.45', 'quantity': '1'}}"
