companyName,currentValue,change,pChange,updatedOn,securityID,scripCode,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat,buy,sell
SANRHEA TECHNICAL TEXTILES LTD.,162.80,-3.30,-1.99,24 Oct 24 | 04:00 PM,SANTETX,514280,XT /,10.00,Textiles,166.10,166.10,166.10,162.80,205.75,67.00,164.34,0.00 Cr.,0.00 Lakh,0.01 Lakh,81.40 Cr.,22.79 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '159.55', 'quantity': '100'}, '2': {'price': '162.00', 'quantity': '29'}, '3': {'price': '162.70', 'quantity': '30'}, '4': {'price': '162.80', 'quantity': '63'}, '5': {'price': '165.00', 'quantity': '300'}}"
ASHIMA LTD.,30.59,-0.60,-1.92,25 Oct 24 | 02:59 PM,ASHIMASYN,514286,T  /,10.00,Textiles,31.19,32.20,32.20,29.80,51.92,13.27,31.08,0.06 Cr.,0.19 Lakh,0.32 Lakh,586.29 Cr.,158.30 Cr.,"{'1': {'quantity': '1', 'price': '30.25'}, '2': {'quantity': '1', 'price': '30.23'}, '3': {'quantity': '803', 'price': '30.22'}, '4': {'quantity': '150', 'price': '30.21'}, '5': {'quantity': '39', 'price': '30.20'}}","{'1': {'price': '30.59', 'quantity': '95'}, '2': {'price': '30.60', 'quantity': '50'}, '3': {'price': '30.80', 'quantity': '200'}, '4': {'price': '30.85', 'quantity': '100'}, '5': {'price': '31.00', 'quantity': '200'}}"
PIONEER EMBROIDERIES LTD.-$,45.16,-1.56,-3.34,25 Oct 24 | 03:00 PM,PIONEEREMB,514300,B  /,10.00,Textiles,46.72,46.45,46.45,45.08,67.00,38.00,45.60,0.02 Cr.,0.05 Lakh,0.06 Lakh,133.07 Cr.,81.18 Cr.,"{'1': {'quantity': '357', 'price': '45.16'}, '2': {'quantity': '400', 'price': '45.15'}, '3': {'quantity': '4', 'price': '45.08'}, '4': {'quantity': '189', 'price': '45.05'}, '5': {'quantity': '50', 'price': '45.03'}}","{'1': {'price': '45.43', 'quantity': '65'}, '2': {'price': '45.44', 'quantity': '132'}, '3': {'price': '45.51', 'quantity': '1'}, '4': {'price': '45.52', 'quantity': '23'}, '5': {'price': '45.60', 'quantity': '29'}}"
VIPPY SPINPRO LTD.,168.00,-11.80,-6.56,25 Oct 24 | 02:48 PM,VIPPYSP,514302,X  /,10.00,Textiles,179.80,179.80,179.80,162.10,225.00,133.50,167.49,0.00 Cr.,0.00 Lakh,0.00 Lakh,98.62 Cr.,32.54 Cr.,"{'1': {'quantity': '1', 'price': '166.00'}, '2': {'quantity': '7', 'price': '165.65'}, '3': {'quantity': '200', 'price': '165.25'}, '4': {'quantity': '22', 'price': '165.20'}, '5': {'quantity': '10', 'price': '165.10'}}","{'1': {'price': '174.00', 'quantity': '1'}, '2': {'price': '175.00', 'quantity': '44'}, '3': {'price': '175.80', 'quantity': '9'}, '4': {'price': '176.00', 'quantity': '200'}, '5': {'price': '177.00', 'quantity': '2'}}"
JAIHIND SYNTHETICS LTD.,33.77,1.47,4.55,24 Oct 24 | 04:00 PM,JAIHINDS,514312,XT /,10.00,Textiles,32.30,32.30,33.91,30.70,45.00,14.35,31.07,0.00 Cr.,0.01 Lakh,0.01 Lakh,21.34 Cr.,15.58 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '32.09', 'quantity': '500'}, '2': {'price': '32.90', 'quantity': '34'}, '3': {'price': '32.99', 'quantity': '200'}, '4': {'price': '33.50', 'quantity': '500'}, '5': {'price': '33.75', 'quantity': '87'}}"
RAGHUVIR SYNTHETICS LTD.,120.00,-4.20,-3.38,25 Oct 24 | 03:01 PM,RAGHUSYN,514316,X  /,1.00,Textiles,124.20,124.20,124.20,120.00,154.60,101.25,121.06,0.01 Cr.,0.01 Lakh,0.05 Lakh,465.00 Cr.,116.25 Cr.,"{'1': {'quantity': '40', 'price': '120.00'}, '2': {'quantity': '5', 'price': '119.00'}, '3': {'quantity': '25', 'price': '118.50'}, '4': {'quantity': '10', 'price': '118.20'}, '5': {'quantity': '26', 'price': '115.00'}}","{'1': {'price': '120.85', 'quantity': '20'}, '2': {'price': '120.90', 'quantity': '100'}, '3': {'price': '121.00', 'quantity': '100'}, '4': {'price': '122.00', 'quantity': '25'}, '5': {'price': '123.50', 'quantity': '25'}}"
JATTASHANKAR INDUSTIES LTD.,88.00,1.72,1.99,25 Oct 24 | 02:30 PM,JATTAINDUS,514318,P  /,10.00,Textiles,86.28,88.00,88.00,88.00,88.00,14.28,88.00,0.00 Cr.,0.00 Lakh,0.04 Lakh,38.61 Cr.,10.42 Cr.,"{'1': {'quantity': '6400', 'price': '88.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
KAMADGIRI FASHION LTD.-$,103.00,4.79,4.88,25 Oct 24 | 03:01 PM,KAMADGIRI,514322,XT /,10.00,Textiles,98.21,98.20,103.00,98.20,127.49,61.35,99.57,0.00 Cr.,0.00 Lakh,0.02 Lakh,60.45 Cr.,39.90 Cr.,"{'1': {'quantity': '100', 'price': '98.00'}, '2': {'quantity': '10', 'price': '95.01'}, '3': {'quantity': '120', 'price': '95.00'}, '4': {'quantity': '30', 'price': '94.00'}, '5': {'quantity': '100', 'price': '93.50'}}","{'1': {'price': '102.99', 'quantity': '5'}, '2': {'price': '103.00', 'quantity': '984'}, '3': {'price': '103.12', 'quantity': '65'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
OMNITEX INDUSTRIES (INDIA) LTD.,259.80,2.65,1.03,25 Oct 24 | 02:56 PM,OMNITEX,514324,XT /,10.00,Textiles,257.15,250.00,260.00,244.30,324.90,54.79,249.42,0.08 Cr.,0.03 Lakh,0.03 Lakh,109.22 Cr.,38.23 Cr.,"{'1': {'quantity': '20', 'price': '250.00'}, '2': {'quantity': '100', 'price': '246.50'}, '3': {'quantity': '40', 'price': '246.00'}, '4': {'quantity': '50', 'price': '245.20'}, '5': {'quantity': '8', 'price': '244.30'}}","{'1': {'price': '255.80', 'quantity': '2'}, '2': {'price': '259.80', 'quantity': '45'}, '3': {'price': '259.90', 'quantity': '279'}, '4': {'price': '259.95', 'quantity': '169'}, '5': {'price': '260.00', 'quantity': '75'}}"
PATSPIN INDIA LTD.,12.60,0.03,0.24,25 Oct 24 | 02:54 PM,PATSPINLTD,514326,X  /,10.00,Textiles,12.57,12.56,12.80,12.10,18.57,10.55,12.37,0.01 Cr.,0.08 Lakh,0.16 Lakh,38.96 Cr.,13.25 Cr.,"{'1': {'quantity': '100', 'price': '12.25'}, '2': {'quantity': '1966', 'price': '12.21'}, '3': {'quantity': '5000', 'price': '12.20'}, '4': {'quantity': '20', 'price': '12.16'}, '5': {'quantity': '20', 'price': '12.14'}}","{'1': {'price': '12.60', 'quantity': '70'}, '2': {'price': '12.70', 'quantity': '1'}, '3': {'price': '12.74', 'quantity': '1'}, '4': {'price': '12.76', 'quantity': '1'}, '5': {'price': '12.77', 'quantity': '1'}}"
One Global Service Provider Ltd,142.00,-4.00,-2.74,25 Oct 24 | 02:57 PM,ONEGLOBAL,514330,XT /,10.00,Healthcare,146.00,141.15,149.75,141.00,185.00,36.50,142.42,0.04 Cr.,0.03 Lakh,0.09 Lakh,100.89 Cr.,70.62 Cr.,"{'1': {'quantity': '3', 'price': '143.00'}, '2': {'quantity': '363', 'price': '142.00'}, '3': {'quantity': '5', 'price': '141.10'}, '4': {'quantity': '57', 'price': '141.00'}, '5': {'quantity': '1', 'price': '140.00'}}","{'1': {'price': '149.10', 'quantity': '40'}, '2': {'price': '149.15', 'quantity': '20'}, '3': {'price': '149.20', 'quantity': '10'}, '4': {'price': '149.30', 'quantity': '10'}, '5': {'price': '149.60', 'quantity': '27'}}"
NEO INFRACON LTD.,27.72,-0.03,-0.11,21 Oct 24 | 04:00 PM,NEOINFRA,514332,XT /,10.00,Realty,27.75,28.00,28.00,27.72,28.00,12.37,28.00,0.01 Cr.,0.04 Lakh,0.04 Lakh,14.71 Cr.,6.77 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
Genesis Ibrc India Ltd,15.85,0.00,0.00,21 Oct 24 | 04:00 PM,GENESIS,514336,XT /,10.00,Healthcare,15.85,15.85,15.85,15.85,15.85,9.73,15.80,0.00 Cr.,0.00 Lakh,0.00 Lakh,20.61 Cr.,18.34 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
WINSOME YARNS LTD.,3.86,-0.07,-1.78,25 Oct 24 | 02:57 PM,WINSOME,514348,Z  /,10.00,Textiles,3.93,3.93,3.93,3.86,5.62,2.90,3.88,0.00 Cr.,0.02 Lakh,0.07 Lakh,27.29 Cr.,16.65 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '3.86', 'quantity': '10049'}, '2': {'price': '3.91', 'quantity': '2000'}, '3': {'price': '3.93', 'quantity': '1353'}, '4': {'price': '3.98', 'quantity': '6000'}, '5': {'price': '3.99', 'quantity': '1486'}}"
PREMIER POLYFILM LTD.,292.00,-12.15,-3.99,25 Oct 24 | 03:01 PM,PREMIERPOL,514354,T  /,5.00,Capital Goods,304.15,302.30,304.15,290.20,356.90,140.55,295.48,0.09 Cr.,0.03 Lakh,0.97 Lakh,611.70 Cr.,183.51 Cr.,"{'1': {'quantity': '20', 'price': '291.25'}, '2': {'quantity': '12', 'price': '291.20'}, '3': {'quantity': '50', 'price': '291.15'}, '4': {'quantity': '9', 'price': '291.05'}, '5': {'quantity': '105', 'price': '291.00'}}","{'1': {'price': '292.00', 'quantity': '50'}, '2': {'price': '295.90', 'quantity': '20'}, '3': {'price': '296.00', 'quantity': '8'}, '4': {'price': '296.20', 'quantity': '50'}, '5': {'price': '296.40', 'quantity': '40'}}"
Everlon Financials Ltd,135.00,-2.70,-1.96,25 Oct 24 | 02:52 PM,EVERFIN,514358,XT /,10.00,Financial Services,137.70,135.00,135.00,135.00,210.72,53.66,135.00,0.00 Cr.,0.00 Lakh,0.00 Lakh,83.70 Cr.,21.76 Cr.,"{'1': {'quantity': '80', 'price': '135.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '135.00', 'quantity': '300'}, '2': {'price': '137.70', 'quantity': '2'}, '3': {'price': '140.45', 'quantity': '53'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
K&R Rail Engineering Ltd,381.95,-22.65,-5.60,25 Oct 24 | 03:02 PM,KRRAIL,514360,B  / BSE SmallCap,10.00,Construction,404.60,404.60,404.60,375.00,800.00,303.55,382.74,1.10 Cr.,0.29 Lakh,2.51 Lakh,808.63 Cr.,202.16 Cr.,"{'1': {'quantity': '3', 'price': '381.00'}, '2': {'quantity': '48', 'price': '380.20'}, '3': {'quantity': '1', 'price': '380.15'}, '4': {'quantity': '1', 'price': '380.05'}, '5': {'quantity': '23', 'price': '380.00'}}","{'1': {'price': '381.80', 'quantity': '101'}, '2': {'price': '381.95', 'quantity': '4'}, '3': {'price': '382.00', 'quantity': '20'}, '4': {'price': '382.85', 'quantity': '36'}, '5': {'price': '382.90', 'quantity': '5'}}"
YARN SYNDICATE LTD.,43.48,0.00,0.00,25 Oct 24 | 02:55 PM,YARNSYN,514378,XT /,10.00,Services,43.48,43.48,43.48,43.48,61.00,20.07,43.48,0.01 Cr.,0.02 Lakh,0.07 Lakh,94.57 Cr.,61.47 Cr.,"{'1': {'quantity': '1309', 'price': '44.34'}, '2': {'quantity': '551', 'price': '43.48'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '43.48', 'quantity': '16'}, '2': {'price': '44.34', 'quantity': '225'}, '3': {'price': '0.00', 'quantity': '393'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
GUJARAT COTEX LTD.,13.30,-0.27,-1.99,25 Oct 24 | 03:02 PM,GUJCOTEX,514386,XT /,5.00,Textiles,13.57,13.30,13.30,13.30,14.40,3.10,13.30,0.02 Cr.,0.18 Lakh,0.80 Lakh,18.94 Cr.,16.86 Cr.,"{'1': {'quantity': '200', 'price': '13.64'}, '2': {'quantity': '1', 'price': '13.36'}, '3': {'quantity': '1740', 'price': '13.30'}, '4': {'quantity': '2088', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '13.30', 'quantity': '1230904'}, '2': {'price': '13.31', 'quantity': '9637'}, '3': {'price': '13.32', 'quantity': '3'}, '4': {'price': '13.33', 'quantity': '50'}, '5': {'price': '0.00', 'quantity': '10515'}}"
GARWARE SYNTHETICS LTD.,27.84,0.00,0.00,25 Oct 24 | 02:34 PM,GARWSYN,514400,XT /,10.00,Services,27.84,27.84,27.84,27.84,37.47,11.62,27.84,0.00 Cr.,0.00 Lakh,0.01 Lakh,16.17 Cr.,8.73 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '27.84', 'quantity': '2643'}, '2': {'price': '28.00', 'quantity': '200'}, '3': {'price': '28.39', 'quantity': '600'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
Eco Hotels And Resorts Ltd,36.05,-1.89,-4.98,25 Oct 24 | 02:59 PM,ECOHOTELS,514402,X  /,10.00,Consumer Services,37.94,38.76,38.76,36.05,55.18,15.47,36.10,0.07 Cr.,0.19 Lakh,0.10 Lakh,185.68 Cr.,20.43 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '36.05', 'quantity': '2936'}, '2': {'price': '36.74', 'quantity': '50'}, '3': {'price': '37.75', 'quantity': '100'}, '4': {'price': '37.80', 'quantity': '100'}, '5': {'price': '38.25', 'quantity': '500'}}"
SARUP INDUSTRIES LTD.-$,48.60,-2.38,-4.67,21 Oct 24 | 04:00 PM,SARUPINDUS,514412,XT /,10.00,Consumer Durables,50.98,48.60,48.60,48.60,51.90,36.60,48.60,0.01 Cr.,0.03 Lakh,0.03 Lakh,15.81 Cr.,3.95 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
Mangalam Organics Limited,480.10,-15.25,-3.08,25 Oct 24 | 03:00 PM,MANORG,514418,T  /,10.00,Chemicals,495.35,490.00,496.00,470.60,716.95,269.00,475.67,0.30 Cr.,0.06 Lakh,0.02 Lakh,411.18 Cr.,164.47 Cr.,"{'1': {'quantity': '10', 'price': '480.10'}, '2': {'quantity': '101', 'price': '480.00'}, '3': {'quantity': '1', 'price': '472.05'}, '4': {'quantity': '250', 'price': '472.00'}, '5': {'quantity': '124', 'price': '471.00'}}","{'1': {'price': '496.00', 'quantity': '32'}, '2': {'price': '514.95', 'quantity': '10'}, '3': {'price': '515.00', 'quantity': '16'}, '4': {'price': '519.00', 'quantity': '20'}, '5': {'price': '520.00', 'quantity': '10'}}"
HINDUSTAN ADHESIVES LTD.,389.00,-4.50,-1.14,25 Oct 24 | 03:01 PM,HINDADH,514428,X  /,10.00,Capital Goods,393.50,383.50,420.00,376.10,538.80,246.10,389.91,0.22 Cr.,0.06 Lakh,0.05 Lakh,199.02 Cr.,51.75 Cr.,"{'1': {'quantity': '7', 'price': '382.05'}, '2': {'quantity': '1', 'price': '382.00'}, '3': {'quantity': '40', 'price': '381.30'}, '4': {'quantity': '52', 'price': '381.20'}, '5': {'quantity': '1', 'price': '380.70'}}","{'1': {'price': '388.70', 'quantity': '4'}, '2': {'price': '388.90', 'quantity': '9'}, '3': {'price': '390.00', 'quantity': '10'}, '4': {'price': '393.40', 'quantity': '4'}, '5': {'price': '398.00', 'quantity': '53'}}"
Blue Pearl Agriventures Ltd,101.25,4.82,5.00,24 Oct 24 | 04:00 PM,BPAGRI,514440,XT /,10.00,Chemicals,96.43,101.25,101.25,101.25,101.25,31.40,101.00,0.00 Cr.,0.00 Lakh,0.00 Lakh,2.59 Cr.,2.07 Cr.,"{'1': {'quantity': '2838', 'price': '106.31'}, '2': {'quantity': '1', 'price': '106.25'}, '3': {'quantity': '5', 'price': '103.79'}, '4': {'quantity': '5', 'price': '102.26'}, '5': {'quantity': '100', 'price': '101.25'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
SRI KPR INDUSTRIES LTD.,32.79,-0.27,-0.82,25 Oct 24 | 02:59 PM,SRIKPRIND,514442,X  /,10.00,Capital Goods,33.06,33.79,34.36,31.75,48.90,17.26,32.79,0.05 Cr.,0.17 Lakh,0.19 Lakh,66.06 Cr.,24.44 Cr.,"{'1': {'quantity': '18', 'price': '32.27'}, '2': {'quantity': '50', 'price': '32.26'}, '3': {'quantity': '45', 'price': '32.17'}, '4': {'quantity': '65', 'price': '32.05'}, '5': {'quantity': '35', 'price': '32.01'}}","{'1': {'price': '32.79', 'quantity': '3'}, '2': {'price': '32.80', 'quantity': '1'}, '3': {'price': '33.00', 'quantity': '2001'}, '4': {'price': '33.80', 'quantity': '2'}, '5': {'price': '33.99', 'quantity': '68'}}"
LS INDUSTRIES LTD.,101.20,-5.30,-4.98,25 Oct 24 | 02:57 PM,LSIND,514446,XT /,1.00,Metals & Mining,106.50,101.20,101.20,101.20,267.50,22.50,101.20,0.00 Cr.,0.00 Lakh,0.17 Lakh,"8,590.05 Cr.","2,233.41 Cr.","{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '101.20', 'quantity': '85611'}, '2': {'price': '101.30', 'quantity': '22'}, '3': {'price': '101.40', 'quantity': '541'}, '4': {'price': '102.00', 'quantity': '1'}, '5': {'price': '103.30', 'quantity': '60'}}"
JYOTI RESINS & ADHESIVES LTD.,1439.95,-17.00,-1.17,25 Oct 24 | 03:03 PM,JYOTIRES,514448,B  / BSE SmallCap,10.00,Chemicals,1456.95,1455.00,1468.95,1420.00,1695.00,1181.05,1434.21,2.18 Cr.,0.15 Lakh,0.28 Lakh,"1,727.94 Cr.",846.69 Cr.,"{'1': {'quantity': '1', 'price': '1439.00'}, '2': {'quantity': '2', 'price': '1438.00'}, '3': {'quantity': '3', 'price': '1437.05'}, '4': {'quantity': '4', 'price': '1437.00'}, '5': {'quantity': '4', 'price': '1435.00'}}","{'1': {'price': '1439.95', 'quantity': '13'}, '2': {'price': '1440.00', 'quantity': '47'}, '3': {'price': '1444.40', 'quantity': '26'}, '4': {'price': '1444.90', 'quantity': '3'}, '5': {'price': '1444.95', 'quantity': '1'}}"
MAHALAXMI RUBTECH LTD.,145.05,-5.65,-3.75,25 Oct 24 | 03:03 PM,MHLXMIRU,514450,B  /,10.00,Textiles,150.70,150.00,153.20,140.00,288.95,127.67,144.84,0.01 Cr.,0.00 Lakh,0.02 Lakh,154.05 Cr.,52.38 Cr.,"{'1': {'quantity': '1', 'price': '142.70'}, '2': {'quantity': '13', 'price': '141.50'}, '3': {'quantity': '5', 'price': '141.45'}, '4': {'quantity': '100', 'price': '141.00'}, '5': {'quantity': '61', 'price': '140.95'}}","{'1': {'price': '143.80', 'quantity': '21'}, '2': {'price': '143.85', 'quantity': '5'}, '3': {'price': '143.90', 'quantity': '11'}, '4': {'price': '143.95', 'quantity': '4'}, '5': {'price': '144.00', 'quantity': '13'}}"
SOUTHERN LATEX LTD.,24.83,1.18,4.99,25 Oct 24 | 02:44 PM,SOUTLAT,514454,X  /,10.00,Textiles,23.65,23.65,24.83,22.48,35.00,14.90,23.88,0.00 Cr.,0.00 Lakh,0.00 Lakh,18.27 Cr.,8.04 Cr.,"{'1': {'quantity': '180', 'price': '24.83'}, '2': {'quantity': '6', 'price': '22.48'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
OSWAL YARNS LTD.,69.33,1.35,1.99,25 Oct 24 | 02:46 PM,OSWAYRN,514460,XT /,10.00,Services,67.98,69.33,69.33,69.33,69.33,5.20,69.33,0.01 Cr.,0.02 Lakh,0.01 Lakh,27.80 Cr.,15.29 Cr.,"{'1': {'quantity': '1022', 'price': '69.33'}, '2': {'quantity': '7', 'price': '67.98'}, '3': {'quantity': '105', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '0.00', 'quantity': '-'}, '2': {'price': '0.00', 'quantity': '-'}, '3': {'price': '0.00', 'quantity': '-'}, '4': {'price': '0.00', 'quantity': '-'}, '5': {'price': '0.00', 'quantity': '-'}}"
WINSOME TEXTILE INDUSTRIES LTD.-$,82.37,-4.33,-4.99,25 Oct 24 | 03:03 PM,WINSOMTX,514470,T  /,10.00,Textiles,86.70,86.70,86.70,82.37,128.00,59.37,83.18,0.14 Cr.,0.16 Lakh,0.10 Lakh,163.26 Cr.,71.83 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '82.37', 'quantity': '812'}, '2': {'price': '85.99', 'quantity': '71'}, '3': {'price': '86.00', 'quantity': '250'}, '4': {'price': '89.55', 'quantity': '25'}, '5': {'price': '89.59', 'quantity': '100'}}"
REGENCY CERAMICS LTD.,91.13,-1.85,-1.99,21 Oct 24 | 04:00 PM,REGENCERAM,515018,T  /,10.00,Consumer Durables,92.98,91.13,91.13,91.13,104.85,31.16,91.13,0.01 Cr.,0.01 Lakh,0.02 Lakh,240.96 Cr.,93.98 Cr.,"{'1': {'quantity': '-', 'price': '0.00'}, '2': {'quantity': '-', 'price': '0.00'}, '3': {'quantity': '-', 'price': '0.00'}, '4': {'quantity': '-', 'price': '0.00'}, '5': {'quantity': '-', 'price': '0.00'}}","{'1': {'price': '89.31', 'quantity': '13851'}, '2': {'price': '91.00', 'quantity': '109'}, '3': {'price': '91.13', 'quantity': '2873'}, '4': {'price': '0.00', 'quantity': '120'}, '5': {'price': '0.00', 'quantity': '-'}}"
ASAHI INDIA GLASS LTD.,674.80,-32.80,-4.64,25 Oct 24 | 03:03 PM,ASAHIINDIA,515030,A  / BSE 500,1.00,Automobile and Auto Components,707.60,705.00,705.05,663.55,833.00,502.20,675.47,0.37 Cr.,0.06 Lakh,0.12 Lakh,"16,403.71 Cr.","7,381.67 Cr.","{'1': {'quantity': '3', 'price': '674.05'}, '2': {'quantity': '1', 'price': '673.75'}, '3': {'quantity': '8', 'price': '673.70'}, '4': {'quantity': '27', 'price': '673.65'}, '5': {'quantity': '3', 'price': '673.55'}}","{'1': {'price': '674.95', 'quantity': '4'}, '2': {'price': '675.00', 'quantity': '50'}, '3': {'price': '675.25', 'quantity': '1'}, '4': {'price': '675.35', 'quantity': '107'}, '5': {'price': '675.50', 'quantity': '1'}}"
MURUDESHWAR CERAMICS LTD.,47.12,-1.89,-3.86,25 Oct 24 | 03:03 PM,MURUDCERA,515037,B  /,10.00,Consumer Durables,49.01,49.01,49.01,47.12,71.50,38.30,47.64,0.03 Cr.,0.06 Lakh,0.06 Lakh,285.29 Cr.,74.18 Cr.,"{'1': {'quantity': '125', 'price': '47.12'}, '2': {'quantity': '200', 'price': '47.10'}, '3': {'quantity': '25', 'price': '47.09'}, '4': {'quantity': '50', 'price': '47.07'}, '5': {'quantity': '3', 'price': '47.06'}}","{'1': {'price': '47.33', 'quantity': '2'}, '2': {'price': '47.35', 'quantity': '150'}, '3': {'price': '47.38', 'quantity': '51'}, '4': {'price': '47.40', 'quantity': '50'}, '5': {'price': '47.41', 'quantity': '50'}}"
SAINT-GOBAIN SEKURIT INDIA LTD.,116.50,-4.75,-3.92,25 Oct 24 | 03:03 PM,SAINTGOBAIN,515043,B  / BSE SmallCap,10.00,Automobile and Auto Components,121.25,121.45,121.90,114.80,156.00,109.00,116.22,0.99 Cr.,0.85 Lakh,0.45 Lakh,"1,061.38 Cr.",265.35 Cr.,"{'1': {'quantity': '19', 'price': '116.00'}, '2': {'quantity': '88', 'price': '115.95'}, '3': {'quantity': '20', 'price': '115.65'}, '4': {'quantity': '15', 'price': '115.60'}, '5': {'quantity': '100', 'price': '115.55'}}","{'1': {'price': '116.60', 'quantity': '263'}, '2': {'price': '116.65', 'quantity': '108'}, '3': {'price': '116.70', 'quantity': '400'}, '4': {'price': '116.95', 'quantity': '20'}, '5': {'price': '117.45', 'quantity': '21'}}"
